Code,Name,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12
091700,파트론,4.65,3.56,3.56,3.56,3.56,4.15,4.15,4.15,4.15
094360,칩스앤미디어,30.31,28.2,28.2,28.2,28.2,19.51,19.51,19.51,19.51
095340,ISC,31.24,7.66,7.66,7.66,7.66,25.67,25.67,25.67,25.67
095500,미래나노텍,1.98,1.98,1.98,1.98,1.98,4,4.0,4.0,4.0
095610,테스,15.62,-3.99,-3.99,-3.99,-3.99,16.03,16.03,16.03,16.03
095660,네오위즈,6.64,8.64,8.64,8.64,8.64,8.98,8.98,8.98,8.98
096530,씨젠,23.02,-8.18,-8.18,-8.18,-8.18,-3.98,-3.98,-3.98,-3.98
098460,고영,16.07,9.03,9.03,9.03,9.03,1.64,1.64,1.64,1.64
099190,아이센스,7.48,4.12,4.12,4.12,4.12,0.91,0.91,0.91,0.91
101360,에코앤드림,3.72,-5.77,-5.77,-5.77,-5.77,0.46,0.46,0.46,0.46
101490,에스앤에스텍,12.97,16.66,16.66,16.66,16.66,16.75,16.75,16.75,16.75
101730,위메이드맥스,29.32,5.4,5.4,5.4,5.4,-10.79,-10.79,-10.79,-10.79
108860,셀바스AI,10.13,7.71,7.71,7.71,7.71,0.71,0.71,0.71,0.71
112040,위메이드,-18.33,-18.25,-18.25,-18.25,-18.25,0.99,0.99,0.99,0.99
114840,아이패밀리에스씨,11.14,16.14,16.14,16.14,16.14,16.42,16.42,16.42,16.42
115450,HLB테라퓨틱스,-17.7,-16.59,-16.59,-16.59,-16.59,-13.88,-13.88,-13.88,-13.88
121600,나노신소재,21.05,14.3,14.3,14.3,14.3,3.4,3.4,3.4,3.4
122870,와이지엔터테인먼트,10.9,13.97,13.97,13.97,13.97,-5.11,-5.11,-5.11,-5.11
131290,티에스이,16.69,-0.96,-0.96,-0.96,-0.96,11.46,11.46,11.46,11.46
131970,두산테스나,24.19,17.95,17.95,17.95,17.95,10.16,10.16,10.16,10.16
137400,피엔티,18.61,14.1,14.1,14.1,14.1,15.77,15.77,15.77,15.77
140410,메지온,-75.93,-45.68,-45.68,-45.68,-45.68,-166.05,-166.05,-166.05,-166.05
140860,파크시스템스,26.22,19.03,19.03,19.03,19.03,22.01,22.01,22.01,22.01
141080,리가켐바이오,-150.77,-236.7,-236.7,-236.7,-236.7,-16.61,-16.61,-16.61,-16.61
145020,휴젤,35.99,36.84,36.84,36.84,36.84,44.56,44.56,44.56,44.56
160190,하이젠알앤엠,5.62,5.61,5.61,5.61,5.61,-0.49,-0.49,-0.49,-0.49
161580,필옵틱스,5.95,3.42,3.42,3.42,3.42,3.36,3.36,3.36,3.36
166090,하나머티리얼즈,30.5,17.67,17.67,17.67,17.67,17.25,17.25,17.25,17.25
171090,선익시스템,5.99,-6.5,-6.5,-6.5,-6.5,7,7.0,7.0,7.0
178320,서진시스템,8.11,6.29,6.29,6.29,6.29,8.96,8.96,8.96,8.96
179900,유티아이,-12.73,-101.91,-101.91,-101.91,-101.91,-173.73,-173.73,-173.73,-173.73
183300,코미코,19.21,10.75,10.75,10.75,10.75,22.18,22.18,22.18,22.18
189300,인텔리안테크,6.41,3.52,3.52,3.52,3.52,-7.54,-7.54,-7.54,-7.54
