date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251125,101400,101400,97800,99300,14558129,1448611,2.69,2600,2,005930,587820046,-51.20,99.18,52.22,0.25,0,0,0,2,4700,4.86,2,4700,4.86,2,1100,1.14
20251124,97800,99000,96200,96700,28497744,2779643,2.00,1900,2,005930,572428987,24.06,112.68,52.22,0.48,339064,3727780,-4009460,2,3000,3.16,2,4200,4.43,2,1400,1.48
20251121,95600,96800,94500,94800,22970800,2191650,-5.77,5800,5,005930,561181675,-8.87,70.65,52.20,0.39,-8363423,-111484,8309682,5,-5000,-4.97,5,-3800,-3.78,5,-6100,-6.06
20251120,100900,102900,99500,100600,25207058,2552694,4.25,4100,2,005930,595515575,44.49,122.68,52.36,0.43,5275015,1747180,-7029081,2,4400,4.56,2,6400,6.63,2,3000,3.11
20251119,97100,97500,94600,96500,17445931,1679341,-1.33,1300,5,005930,571245059,-6.63,85.07,52.27,0.29,-2079416,874849,1293442,5,-700,-0.72,5,-300,-0.31,5,-3200,-3.27
20251118,99800,100900,97500,97800,18684068,1844179,-2.78,2800,5,005930,578940589,9.25,79.60,52.31,0.32,822170,-1741093,953454,5,-800,-0.80,2,300,0.30,5,-3100,-3.08
20251117,99800,101000,99500,100600,17102276,1715058,3.50,3400,2,005930,595515575,-21.57,125.56,52.29,0.29,3038745,356569,-3330929,2,2600,2.67,2,3800,3.91,2,2300,2.37
20251114,99000,99600,97200,97200,21806342,2147749,-5.45,5600,5,005930,575388806,4.64,68.46,52.23,0.37,-5980112,-3296936,8999141,5,-3800,-3.70,5,-3200,-3.11,5,-5600,-5.45
20251113,102500,104200,102300,102800,20838741,2148169,-0.29,300,5,005930,608538778,7.35,99.30,52.34,0.35,1899247,-4088635,2222221,5,-600,-0.58,2,1100,1.07,5,-800,-0.78
20251112,103000,103900,101600,103100,19411466,1998293,-0.39,400,5,005930,610314670,-29.02,97.66,52.32,0.33,-4337394,1925957,2243924,5,-500,-0.48,2,400,0.39,5,-1900,-1.84
20251111,103700,106000,102000,103500,27348008,2850164,2.88,2900,2,005930,612682525,16.80,105.09,52.39,0.46,2213512,1393210,-3575513,2,3100,3.08,2,5400,5.37,2,1400,1.39
