date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251022,475000,482000,469000,481500,3510690,1667429,0.52,2500,2,000660,350533139,-14.86,114.45,54.96,0.48,-1106429,309326,775079,5,-4000,-0.84,2,3000,0.63,5,-10000,-2.09
20251021,497000,502000,478000,479000,4123226,2022667,-1.34,6500,5,000660,348713133,23.68,82.62,55.13,0.57,-795305,-66149,864862,2,11500,2.37,2,16500,3.40,5,-7500,-1.54
20251020,477500,485500,465500,485500,3333903,1591853,4.30,20000,2,000660,353445148,-26.53,94.04,55.23,0.46,-497421,254026,250643,2,12000,2.58,2,20000,4.30,3,0,0.00
20251017,451500,475000,449500,465500,4537513,2101193,2.87,13000,2,000660,338885101,6.82,97.15,55.30,0.62,-435141,234374,194708,5,-1000,-0.22,2,22500,4.97,5,-3000,-0.66
20251016,421000,455000,420500,452500,4247934,1883343,7.10,30000,2,000660,329421070,58.25,154.76,55.34,0.58,354402,139672,-511720,5,-1500,-0.36,2,32500,7.69,5,-2000,-0.47
20251015,410500,424000,407000,422500,2684298,1114356,2.67,11000,2,000660,307580999,-31.07,125.07,55.30,0.37,-761801,406496,340737,5,-1000,-0.24,2,12500,3.04,5,-4500,-1.09
20251014,425000,436500,406500,411500,3893990,1636585,-0.84,3500,5,000660,299572973,-8.04,100.13,55.41,0.53,-52170,-2718,36923,2,10000,2.41,2,21500,5.18,5,-8500,-2.05
20251013,405500,415500,403000,415000,4234611,1737129,-3.04,13000,5,000660,302120981,-34.99,118.22,55.44,0.58,-1286026,210510,1007023,5,-22500,-5.26,5,-12500,-2.92,5,-25000,-5.84
20251010,426000,439250,416500,428000,6513723,2774739,8.22,32500,2,000660,311585012,-11.99,90.02,55.61,0.89,-165499,-425711,569699,2,30500,7.71,2,43750,11.06,2,21000,5.31
20251002,388500,404500,384000,395500,7401013,2933067,9.86,35500,2,000660,287924935,164.63,108.94,55.64,1.02,1039486,-215434,-821959,2,28500,7.92,2,44500,12.36,2,24000,6.67
20251001,351000,362000,351000,360000,2796724,999914,3.60,12500,2,000660,262080851,29.08,165.24,55.48,0.38,166628,270253,-490160,2,3500,1.01,2,14500,4.17,2,3500,1.01
20250930,353000,356500,347500,347500,2166600,758530,-0.43,1500,5,000660,252980822,-4.81,108.98,55.45,0.30,-208616,17393,180827,2,4000,1.15,2,7500,2.15,5,-1500,-0.43
20250929,339500,351000,339000,349000,2275986,790539,3.71,12500,2,000660,254072825,-34.33,143.62,55.48,0.31,248251,165103,-405440,2,3000,0.89,2,14500,4.31,2,2500,0.74
20250926,347500,349000,333000,336500,3466041,1179137,-5.61,20000,5,000660,244972796,61.37,72.56,55.57,0.48,-1047488,-47041,1071106,5,-9000,-2.52,5,-7500,-2.10,5,-23500,-6.59
20250925,352000,359000,349500,356500,2147902,762029,-0.28,1000,5,000660,259532843,-43.94,94.94,55.85,0.30,227657,-54677,-192046,5,-5500,-1.54,2,1500,0.42,5,-8000,-2.24
20250924,359000,364000,348500,357500,3831661,1362807,-0.97,3500,5,000660,260260845,20.86,100.05,55.81,0.53,-754904,283694,456519,5,-2000,-0.55,2,3000,0.83,5,-12500,-3.46
20250923,355500,363000,353000,361000,3170457,1134540,2.85,10000,2,000660,262808854,-26.69,151.05,55.90,0.44,-19637,199611,-193291,2,4500,1.28,2,12000,3.42,2,2000,0.57
20250922,349000,359000,345250,351000,4324894,1523000,-0.57,2000,5,000660,255528830,10.91,125.52,55.90,0.59,-855406,387157,464965,5,-4000,-1.13,2,6000,1.70,5,-7750,-2.20
20250919,351500,360000,348000,353000,3899314,1374742,0.00,0,3,000660,256984835,-5.71,88.40,56.08,0.54,-593013,-19315,600519,5,-1500,-0.42,2,7000,1.98,5,-5000,-1.42
20250918,338500,357000,336500,353000,4135271,1446601,5.85,19500,2,000660,256984835,-5.02,133.41,56.21,0.57,62921,125398,-194242,2,5000,1.50,2,23500,7.05,2,3000,0.90
20250917,341000,342500,333500,333500,4354022,1467239,-4.17,14500,5,000660,242788789,-23.69,97.21,56.26,0.60,-524530,16245,508867,5,-7000,-2.01,5,-5500,-1.58,5,-14500,-4.17
20250916,331500,354000,331500,348000,5705432,1974160,5.14,17000,2,000660,253344823,36.49,119.44,56.32,0.78,736251,-110204,-613141,2,500,0.15,2,23000,6.95,2,500,0.15
20250915,339500,341500,325000,331000,4180256,1390602,0.76,2500,2,000660,240968783,-0.38,82.83,56.25,0.57,230184,8924,-231456,2,11000,3.35,2,13000,3.96,5,-3500,-1.07
20250912,322000,329500,319000,328500,4196357,1366948,7.00,21500,2,000660,239148777,-13.89,117.39,56.21,0.58,1021473,312354,-1305206,2,15000,4.89,2,22500,7.33,2,12000,3.91
20250911,310000,315000,305500,307000,4873233,1507854,0.99,3000,2,000660,223496726,-7.33,86.55,56.09,0.67,965517,-223152,-704841,2,6000,1.97,2,11000,3.62,2,1500,0.49
20250910,294500,305000,293000,304000,5258445,1581311,5.56,16000,2,000660,221312719,31.98,172.59,55.97,0.72,2186775,207320,-2306746,2,6500,2.26,2,17000,5.90,2,5000,1.74
20250909,278000,288500,277000,288000,3984408,1133457,3.97,11000,2,000660,209664681,97.45,180.38,55.63,0.55,1359004,-57249,-1274676,2,1000,0.36,2,11500,4.15,3,0,0.00
20250908,278500,279000,274000,277000,2017915,559079,1.28,3500,2,000660,201656655,-33.69,114.91,55.44,0.28,532995,2553,-502828,2,5000,1.83,2,5500,2.01,2,500,0.18
20250905,273000,275000,272000,273500,3042981,833174,3.01,8000,2,000660,199108647,38.95,137.28,55.35,0.42,1041286,114232,-1128309,2,7500,2.82,2,9500,3.58,2,6500,2.45
20250904,267000,271000,264500,265500,2189959,584528,1.14,3000,2,000660,193284628,-9.53,111.60,55.16,0.30,51694,209404,-269500,2,4500,1.71,2,8500,3.24,2,2000,0.76
20250903,259500,265500,257750,262500,2420597,635919,0.77,2000,2,000660,191100621,52.75,128.19,55.18,0.33,404024,-144481,-242600,5,-1000,-0.38,2,5000,1.92,5,-2750,-1.06
20250902,256000,261500,256000,260500,1584710,411935,1.76,4500,2,000660,189644616,-10.95,133.42,55.13,0.22,427106,-153312,-256878,3,0,0.00,2,5500,2.15,3,0,0.00
20250901,259500,261000,255000,256000,1779593,457963,-4.83,13000,5,000660,186368605,-1.08,80.96,55.06,0.24,-397520,-62514,456426,5,-9500,-3.53,5,-8000,-2.97,5,-14000,-5.20
20250829,268000,270000,266000,269000,1798949,482272,0.19,500,2,000660,195832636,-38.44,137.25,54.82,0.25,106009,187324,-258347,5,-500,-0.19,2,1500,0.56,5,-2500,-0.93
20250828,254000,268500,253000,268500,2922279,772392,3.27,8500,2,000660,195468635,14.08,212.70,54.81,0.40,778865,188458,-948244,5,-6000,-2.31,2,8500,3.27,5,-7000,-2.69
20250827,259000,261000,256000,260000,2561702,661607,-0.57,1500,5,000660,189280615,27.92,128.69,55.06,0.35,-551867,342271,199172,5,-2500,-0.96,5,-500,-0.19,5,-5500,-2.10
