date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251125,546000,550000,518000,520000,3297568,1751593,0.00,0,3,000660,378561230,-48.47,80.88,53.46,0.45,0,0,0,2,26000,5.00,2,30000,5.77,5,-2000,-0.38
20251124,531000,542000,517000,520000,5368726,2829603,-0.19,1000,5,000660,378561230,-18.96,90.51,53.46,0.74,-728700,994629,-288527,2,10000,1.92,2,21000,4.03,5,-4000,-0.77
20251121,518000,531000,514000,521000,6624988,3458102,-8.76,50000,5,000660,379289232,42.43,95.11,53.59,0.91,-2803024,441817,2322048,5,-53000,-9.28,5,-40000,-7.01,5,-57000,-9.98
20251120,595000,597000,570000,571000,4651253,2713987,1.60,9000,2,000660,415689350,8.34,83.86,53.36,0.64,-225996,144241,93269,2,33000,5.87,2,35000,6.23,2,8000,1.42
20251119,563000,570000,546000,562000,4293189,2401704,-1.40,8000,5,000660,409137329,21.19,81.43,53.46,0.59,-831302,71561,766031,5,-7000,-1.23,3,0,0.00,5,-24000,-4.21
20251118,583000,591000,570000,570000,3542598,2044261,-5.94,36000,5,000660,414961348,-16.98,79.88,53.63,0.49,-643162,-269404,908964,5,-23000,-3.80,5,-15000,-2.48,5,-36000,-5.94
20251117,588000,606000,584000,606000,4267071,2544226,8.21,46000,2,000660,441169433,-25.75,135.88,53.76,0.59,577934,58456,-611693,2,28000,5.00,2,46000,8.21,2,24000,4.29
20251114,579000,585000,560000,560000,5746779,3294368,-8.50,52000,5,000660,407681324,53.57,66.68,53.67,0.79,-2188268,-522325,2681424,5,-33000,-5.39,5,-27000,-4.41,5,-52000,-8.50
20251113,607000,622000,607000,612000,3742009,2296574,-0.81,5000,5,000660,445537447,33.49,79.50,54.00,0.51,483211,-754751,259239,5,-10000,-1.62,2,5000,0.81,5,-10000,-1.62
20251112,605000,620000,601000,617000,2803129,1715029,-0.32,2000,5,000660,449177459,-49.00,100.45,53.95,0.39,-745723,328522,426752,5,-14000,-2.26,2,1000,0.16,5,-18000,-2.91
20251111,622000,646000,604000,619000,5496553,3438453,2.15,13000,2,000660,450633464,12.90,109.52,53.57,0.76,-701707,148916,534706,2,16000,2.64,2,40000,6.60,5,-2000,-0.33
20251110,584000,615000,581000,606000,4868645,2936515,4.48,26000,2,000660,441169433,1.65,127.01,53.67,0.67,-299884,737643,-437029,2,4000,0.69,2,35000,6.03,2,1000,0.17
20251107,577000,599000,565000,580000,4789397,2784162,-2.19,13000,5,000660,422241372,-7.65,95.45,53.70,0.66,-552625,4847,504925,5,-16000,-2.70,2,6000,1.01,5,-28000,-4.72
20251106,602000,607000,583000,593000,5186297,3095323,2.42,14000,2,000660,431705402,-40.92,110.05,53.77,0.71,-781195,613706,189867,2,23000,3.97,2,28000,4.84,2,4000,0.69
20251105,563000,587000,532000,579000,8778997,4933939,-1.19,7000,5,000660,421513369,47.20,118.00,53.90,1.21,-2188885,651613,1382776,5,-23000,-3.92,2,1000,0.17,5,-54000,-9.22
20251104,611000,614000,583000,586000,5963866,3547544,-5.48,34000,5,000660,426609386,4.28,78.13,54.21,0.82,-2486965,88297,2262451,5,-9000,-1.45,5,-6000,-0.97,5,-37000,-5.97
20251103,557000,624000,555000,620000,5718879,3432525,10.91,61000,2,000660,451361466,71.03,169.27,54.33,0.79,-334449,516474,-163287,5,-2000,-0.36,2,65000,11.63,5,-4000,-0.72
20251031,557000,566000,552000,559000,3343856,1872711,-1.58,9000,5,000660,406953322,-31.44,93.53,54.37,0.46,-1091738,338775,720547,5,-11000,-1.94,5,-2000,-0.35,5,-16000,-2.82
20251030,558000,579000,552000,568000,4877119,2758200,1.79,10000,2,000660,413505343,3.65,104.71,54.53,0.67,-457849,-86681,509729,3,0,0.00,2,21000,3.76,5,-6000,-1.08
20251029,538000,559000,523000,558000,4705175,2561451,7.10,37000,2,000660,406225320,-15.17,138.74,54.60,0.65,-392016,315428,53141,2,17000,3.26,2,38000,7.29,2,2000,0.38
20251028,521000,527000,509000,521000,5546461,2873905,-2.62,14000,5,000660,379289232,64.48,88.72,54.63,0.76,-2486735,247022,2171725,5,-14000,-2.62,5,-8000,-1.50,5,-26000,-4.86
20251027,533000,537000,523000,535000,3372136,1789081,4.90,25000,2,000660,389481265,-20.23,103.81,54.94,0.46,-548156,49938,478481,2,23000,4.51,2,27000,5.29,2,13000,2.55
20251024,493000,513000,491500,510000,4227217,2132465,6.58,31500,2,000660,371281206,27.29,139.28,54.99,0.58,164785,506428,-660317,2,14500,3.03,2,34500,7.21,2,13000,2.72
20251023,470000,488500,468000,478500,3320834,1590133,-0.62,3000,5,000660,348349132,-5.41,99.05,54.87,0.46,-563915,153080,382825,5,-11500,-2.39,2,7000,1.45,5,-13500,-2.80
